Year,date,week,headcount,paid count,,cash taken,class time,venue,event,social
2017,07/12/17,,0,0,,0,6.30pm,Dance House,,
2017,16/01/18,13,20,20,,78,6pm,Sugden,First Class,
2017,18/01/18,,12,12,,46.8,6.30pm,Dance House,,
2017,23/01/18,14,28,25,,97.5,6pm,Sugden,,
2017,25/01/18,,22,16,,62.4,6.30pm,Dance House,,
2018,30/01/18,15,35,56,,218.4,6pm,Sugden,,
2018,01/02/18,,24,39,,152.1,7pm,Dance House,,
2018,06/02/18,16,69,35,,136.5,6pm,Sugden,,
2018,08/02/18,,72,34,,132.6,7pm,Sugden,,
2018,13/02/18,17,81,49,,191.1,6pm,Sugden,,
2018,15/02/18,,75,39,,152.1,7pm,Sugden,,
2018,20/02/18,18,62,47,,183.3,6pm,Sugden,,
2018,22/02/18,,64,25,,97.5,7pm,Sugden,,
2018,27/02/18,19,64,59,,230.1,6pm,Sugden,,
2018,28/02/18,,44,29,,113.1,7pm,Sugden,,
2018,05/03/18,20,75,58,,226.2,6pm,Sugden,,
2018,07/03/18,,45,36,,140.4,7pm,Sugden,,
2018,13/03/18,21,73,53,,206.7,6pm,Sugden,,
2018,15/03/18,,60,35,,136.5,7pm,Sugden,,
2018,20/03/18,22,0,5,,19.5,6pm,Sugden,Grading,
2018,22/03/18,,0,18,,70.2,7pm,Sugden,Grading,
2018,17/04/18,23,55,52,,202.8,6pm,Sugden,First Class,
2018,19/04/18,,35,25,,97.5,7pm,Sugden,,
2018,24/04/18,24,48,36,,140.4,6pm,Sugden,,
2018,26/04/18,,31,31,,120.9,7pm,Sugden,,
2018,01/05/18,25,47,34,,132.6,6pm,Sugden,,
2018,03/05/18,,43,31,,120.9,7pm,Sugden,,
2018,08/05/18,26,36,33,,128.7,6pm,Sugden,,
2018,10/05/18,,38,37,,144.3,7pm,Sugden,,
2018,15/05/18,27,42,27,,105.3,6pm,Sugden,,
2018,17/05/18,,35,30,,117,7pm,Sugden,,
2018,22/05/18,28,34,17,,66.3,6pm,Sugden,,
2018,24/05/18,,25,18,,70.2,7pm,Sugden,,
2018,29/05/18,29,21,21,,81.9,6pm,Sugden,,
2018,31/05/18,,36,4,,15.6,7pm,Sugden,,
2018,05/06/18,30,23,7,,27.3,6pm,Sugden,,
2018,07/06/18,,17,17,,66.3,7pm,Sugden,,
2018,25/09/18,1,230,0,,0,6.30pm,Sugden,First Class,
2018,27/09/18,,240,0,,0,5.30pm,Sugden,,
2018,02/10/18,2,139,128,,499.2,6.30pm,Sugden,,
