AcademicYear,Date,Week,HeadCount,PaidCount,CashTaken,ClassTime,Venue,Event,Social
2017,26/09/17,1,200,0,0,6.30pm,Sugden,First Class,
2017,28/09/17,1,120,0,0,6.30pm,Dance House,,
2017,03/10/17,2,155,154,600.6,6.30pm,Sugden,,
2017,05/10/17,2,88,67,261.3,6.30pm,Dance House,,
2017,10/10/17,3,144,121,471.9,6.30pm,Sugden,,
2017,12/10/17,3,92,87,339.3,6.30pm,Dance House,,
2017,17/10/17,4,131,89,347.1,6.30pm,Sugden,,
2017,19/10/17,4,84,63,245.7,6.30pm,Dance House,,
2017,24/10/17,5,114,84,327.6,6.30pm,Sugden,,
2017,26/10/17,5,67,54,210.6,6.30pm,Dance House,,
2017,31/10/17,6,65,49,191.1,6.30pm,Sugden,Reading week,
2017,02/11/17,6,60,45,175.5,6.30pm,Dance House,Reading week,
2017,07/11/17,7,99,82,319.8,6.30pm,Sugden,,
2017,09/11/17,7,74,62,241.8,6.30pm,Dance House,,
2017,14/11/17,8,94,71,276.9,6.30pm,Sugden,,
2017,16/11/17,8,65,49,191.1,6.30pm,Dance House,,
2017,21/11/17,9,75,72,280.8,6.30pm,Sugden,,
2017,23/11/17,9,70,50,195,6.30pm,Dance House,,
2017,28/11/17,10,92,70,273,6.30pm,Sugden,,
2017,30/11/17,10,74,55,214.5,6.30pm,Dance House,,
2017,05/12/17,11,0,10,39,6.30pm,Sugden,Grading,
2017,07/12/17,11,0,0,0,6.30pm,Dance House,,
2017,16/01/18,12,20,20,78,6pm,Sugden,First Class,
2017,18/01/18,12,12,12,46.8,6.30pm,Dance House,,
2017,23/01/18,13,28,25,97.5,6pm,Sugden,,
2017,25/01/18,13,22,16,62.4,6.30pm,Dance House,,
2017,30/01/18,14,35,56,218.4,6pm,Sugden,,
2017,01/02/18,14,24,39,152.1,7pm,Dance House,,
2017,06/02/18,15,69,35,136.5,6pm,Sugden,,
2017,08/02/18,15,72,34,132.6,7pm,Sugden,,
2017,13/02/18,16,81,49,191.1,6pm,Sugden,,
2017,15/02/18,16,75,39,152.1,7pm,Sugden,,
2017,20/02/18,17,62,47,183.3,6pm,Sugden,,
2017,22/02/18,17,64,25,97.5,7pm,Sugden,,
2017,27/02/18,18,64,59,230.1,6pm,Sugden,,
2017,28/02/18,18,44,29,113.1,7pm,Sugden,,
2017,05/03/18,19,75,58,226.2,6pm,Sugden,,
2017,07/03/18,19,45,36,140.4,7pm,Sugden,,
2017,13/03/18,20,73,53,206.7,6pm,Sugden,,
2017,15/03/18,20,60,35,136.5,7pm,Sugden,,
2017,20/03/18,21,0,5,19.5,6pm,Sugden,Grading,
2017,22/03/18,21,0,18,70.2,7pm,Sugden,Grading,
2017,17/04/18,22,55,52,202.8,6pm,Sugden,First Class,
2017,19/04/18,22,35,25,97.5,7pm,Sugden,,
2017,24/04/18,23,48,36,140.4,6pm,Sugden,,
2017,26/04/18,23,31,31,120.9,7pm,Sugden,,
2017,01/05/18,24,47,34,132.6,6pm,Sugden,,
2017,03/05/18,24,43,31,120.9,7pm,Sugden,,
2017,08/05/18,25,36,33,128.7,6pm,Sugden,,
2017,10/05/18,25,38,37,144.3,7pm,Sugden,,
2017,15/05/18,26,42,27,105.3,6pm,Sugden,,
2017,17/05/18,26,35,30,117,7pm,Sugden,,
2017,22/05/18,27,34,17,66.3,6pm,Sugden,,
2017,24/05/18,27,25,18,70.2,7pm,Sugden,,
2017,29/05/18,28,21,21,81.9,6pm,Sugden,,
